baseMean	log2FoldChange	lfcSE	pvalue	padj
ABCA1_19	2368.59681148614	-0.0346156782539586	0.0767304915097739	0.626853078050448	0.821940796515153
ABCA10_10349	62.3487697780144	0.0124155582608664	0.164227264281216	0.903964840659477	0.960015137503441
ABCA12_26154	10.7935782467099	-0.0333983503864134	0.20299951867716	0.567436452144784	0.784450233579376
ABCA17P_650655	44.7047308126438	0.0652695705922574	0.180467619110002	0.513961270319194	0.749282922276084
ABCA2_20	3409.41075639168	-0.0462471204440139	0.128993157532801	0.644842295969978	0.832632093182079
ABCA3_21	6772.98479609491	-0.111344037072081	0.076681475573008	0.116881569804295	0.314609951873737
ABCA5_23461	3425.34189819542	-0.0842997704239901	0.0589759106327288	0.134823495354371	0.344938545244745
ABCA6_23460	43.6924498016125	0.0324061359386346	0.173136739711235	0.741382645834461	0.885995777270094
ABCA7_10347	313.850275215042	-0.156644921857681	0.133850096528243	0.139932106878934	0.353514816253086
ABCA8_10351	220.154646025172	-0.246071284474945	0.145688844976946	0.0318318127150986	0.126360244987843
ABCA9_10350	33.6134108372454	-0.0950309120649699	0.202090020492638	0.326217660312883	0.589359392496757
ABCB1_5243	23.379865190002	0.0564499330671013	0.201598637209171	0.459789178412515	0.707220782756094
ABCB10_23456	2319.37089374635	0.122169790306315	0.0612595593494392	0.0364720116855799	0.139651197160399
ABCB6_10058	142.126877832403	-0.642452000708148	0.202683163248462	0.000129969593636173	0.00133947474077069
ABCB7_22	1991.73631822854	-0.00804132460458196	0.0650944721838729	0.895917600711539	0.957154365236211
ABCB8_11194	2726.29073210289	0.0985138935634223	0.0534112418371898	0.0557719486832074	0.189882718538394
ABCB9_23457	894.010907646405	-0.0268536405227465	0.0879253941972926	0.735112717371881	0.88294016120828
ABCC1_4363	4611.87518951518	0.11434902768893	0.0624259656923369	0.0543234020463994	0.186510347025971
ABCC10_89845	1831.04242612838	0.1226338604241	0.0796178397251068	0.0948992796848633	0.273528623420898
ABCC2_1244	31.3573740363921	0.0933791631365389	0.208881584770235	0.300151583911624	0.563141088120689
ABCC4_10257	2611.57713597814	0.0290616923080603	0.0544665804429234	0.579652964885528	0.792018994549013
ABCC5_10057	4763.71993020548	0.15582221713584	0.0557158925388943	0.0035779185476753	0.0224791366235359
ABCC6_101930322	18.3095275083481	0.0510046073918203	0.201573781013119	0.485822234988689	0.72841905620877
ABCC9_10060	64.9871849423126	0.466336817023396	0.289530298080388	0.00976515706028704	0.0504537917160301
ABCD1_215	190.397804574553	0.109021091145713	0.144378872135073	0.310863681846151	0.573511024824472
ABCD2_225	51.332454513452	0.219844893952531	0.26497828439895	0.0850396465215643	0.253799933627508
ABCD3_5825	3888.36651707635	0.0328992257049916	0.0571857349990255	0.550121861770906	0.773457025823716
ABCD4_5826	1037.81863145535	0.206737467622613	0.0828993896629321	0.00659166012783448	0.0369817266383793
ABCE1_6059	13145.9158035874	-0.215567703157782	0.0577442785866359	0.000101331813541592	0.00107795872121098
ABCF1_23	7365.91288244848	-0.150746924126172	0.0569459716137996	0.00463950126955283	0.0278483634972721
ABCF2_10061	7548.98851879675	-0.124771718235948	0.0469648867026731	0.00577539081515883	0.0333202942910811
ABCF3_55324	3671.21744466701	0.0162095084113089	0.0541753943191306	0.75704584521216	0.893519424118419
ABCG2_9429	15.2138686438892	0.00473623233063353	0.194181746804522	0.948293719195029	0.977360635410876
ABCG4_64137	19.8956102774577	-0.0153460251843553	0.191066547416531	0.841273485115456	0.932795005342682
ABHD1_84696	9.19383662751937	0.0810565917372693	0.224293373522295	0.131158823704723	0.339330821966562
ABHD10_55347	2919.9411036431	0.361878697228046	0.079383177591875	1.24926686823753e-06	2.04818940663289e-05
ABHD11_83451	467.168495276799	0.112407549227215	0.0997742142680976	0.199225441795988	0.43962665228075
ABHD12_26090	2183.9264822237	-0.110045006411772	0.0683913348461631	0.0872184526293842	0.258627452250723
